Subject	Item	Particle	Type	Stimulus	Event	Time	Playback Action	Playback Location	Question	Answer	Scenario
1a2ba51912f2e23904d7f7a2d1a2d28b	85	oh_decl	exclam	Oh you can't be serious right now	Rating	17307			What is the intensity of the speaker's emotion? How expressive do they sound?	3	
1a2ba51912f2e23904d7f7a2d1a2d28b	85	oh_decl	exclam	Oh you can't be serious right now	Rating	18973			What is the intensity of the speaker's emotion? How expressive do they sound?	4	
1a2ba51912f2e23904d7f7a2d1a2d28b	13	god_conf	exclam	God he really likes it	Scenario						no. The sentence was too short and it had nothing to do with being surprised. I could only tell he was surprised by his tone 
1a2ba51912f2e23904d7f7a2d1a2d28b	13	god_conf	exclam	God he really likes it	Playback	8308	play	0.0			
1a2ba51912f2e23904d7f7a2d1a2d28b	13	god_conf	exclam	God he really likes it	Playback	10266	pause	1.88356			
1a2ba51912f2e23904d7f7a2d1a2d28b	13	god_conf	exclam	God he really likes it	Rating	15103			How natural does the speaker's tone of voice sound?	2	
1a2ba51912f2e23904d7f7a2d1a2d28b	13	god_conf	exclam	God he really likes it	Rating	24237			What is the emotion being conveyed here?	Confusion -- trying to make sense of what is going on	
1a2ba51912f2e23904d7f7a2d1a2d28b	13	god_conf	exclam	God he really likes it	Rating	32001			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
1a2ba51912f2e23904d7f7a2d1a2d28b	13	god_conf	exclam	God he really likes it	Rating	37806			What is the intensity of the speaker's emotion? How expressive do they sound?	5	
8d43c94a025ec9c9bce107d683ffb2b2	28	huh_conf	exclam	Huh there are a lot of cakes to choose from	Scenario						Not explicitly...but the tone and statement meaning expresses surprise/confusion.
8d43c94a025ec9c9bce107d683ffb2b2	28	huh_conf	exclam	Huh there are a lot of cakes to choose from	Playback	29109	play	0.0			
8d43c94a025ec9c9bce107d683ffb2b2	28	huh_conf	exclam	Huh there are a lot of cakes to choose from	Playback	4291	play	0.0			
8d43c94a025ec9c9bce107d683ffb2b2	28	huh_conf	exclam	Huh there are a lot of cakes to choose from	Playback	6925	pause	2.551633			
8d43c94a025ec9c9bce107d683ffb2b2	28	huh_conf	exclam	Huh there are a lot of cakes to choose from	Playback	29109	seeking	0.0			
8d43c94a025ec9c9bce107d683ffb2b2	28	huh_conf	exclam	Huh there are a lot of cakes to choose from	Playback	31735	pause	2.551633			
8d43c94a025ec9c9bce107d683ffb2b2	28	huh_conf	exclam	Huh there are a lot of cakes to choose from	Rating	39091			How natural does the speaker's tone of voice sound?	3	
8d43c94a025ec9c9bce107d683ffb2b2	28	huh_conf	exclam	Huh there are a lot of cakes to choose from	Rating	70006			What is the emotion being conveyed here?	Confusion -- trying to make sense of what is going on	
8d43c94a025ec9c9bce107d683ffb2b2	28	huh_conf	exclam	Huh there are a lot of cakes to choose from	Rating	79966			What is the intensity of the speaker's emotion? How expressive do they sound?	4	
8d43c94a025ec9c9bce107d683ffb2b2	100	what_decl	decl	What I'm on the phone	Scenario						Yes. He's been interrupted. He's "on the phone."
8d43c94a025ec9c9bce107d683ffb2b2	100	what_decl	decl	What I'm on the phone	Playback	48266	seeking	0.0			
8d43c94a025ec9c9bce107d683ffb2b2	100	what_decl	decl	What I'm on the phone	Playback	9037	play	0.0			
8d43c94a025ec9c9bce107d683ffb2b2	100	what_decl	decl	What I'm on the phone	Playback	10911	pause	1.783084			
8d43c94a025ec9c9bce107d683ffb2b2	100	what_decl	decl	What I'm on the phone	Playback	48267	play	0.0			
8d43c94a025ec9c9bce107d683ffb2b2	100	what_decl	decl	What I'm on the phone	Playback	50131	pause	1.783084			
8d43c94a025ec9c9bce107d683ffb2b2	100	what_decl	decl	What I'm on the phone	Rating	43774			How natural does the speaker's tone of voice sound?	5	
8d43c94a025ec9c9bce107d683ffb2b2	100	what_decl	decl	What I'm on the phone	Rating	59858			What is the emotion being conveyed here?	Anger -- annoyed or irritated at an event or situation	
8d43c94a025ec9c9bce107d683ffb2b2	100	what_decl	decl	What I'm on the phone	Rating	68758			What is the intensity of the speaker's emotion? How expressive do they sound?	4	
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Scenario						Busy with call.
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Playback	13540	play	0.0			
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Playback	3123	play	0.0			
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Playback	5119	pause	1.945057			
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Playback	10755	seeking	0.0			
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Playback	10755	play	0.0			
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Playback	12938	pause	1.945057			
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Playback	13540	seeking	0.0			
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Playback	15691	pause	1.945057			
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Rating	21028			How natural does the speaker's tone of voice sound?	4	
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Rating	34791			What is the emotion being conveyed here?	Neutral -- no obvious emotion	
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Rating	53592			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Rating	36443			What is the intensity of the speaker's emotion? How expressive do they sound?	3	
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Rating	48006			What is the intensity of the speaker's emotion? How expressive do they sound?	4	
730dc162007800c337963f3c20e7d404	115	huh_exclam	decl	Huh I'm on the phone	Rating	66888			What is the intensity of the speaker's emotion? How expressive do they sound?	2	
730dc162007800c337963f3c20e7d404	43	what_conf	conf	What she's never done that before	Scenario						Not really. Need more info.
730dc162007800c337963f3c20e7d404	43	what_conf	conf	What she's never done that before	Playback	1448	play	0.0			
730dc162007800c337963f3c20e7d404	43	what_conf	conf	What she's never done that before	Playback	3642	pause	1.942177			
730dc162007800c337963f3c20e7d404	43	what_conf	conf	What she's never done that before	Rating	9400			How natural does the speaker's tone of voice sound?	4	
730dc162007800c337963f3c20e7d404	43	what_conf	conf	What she's never done that before	Rating	15614			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
730dc162007800c337963f3c20e7d404	43	what_conf	conf	What she's never done that before	Rating	25073			What is the intensity of the speaker's emotion? How expressive do they sound?	4	
ddd3a93b8fdbc07dd77b38adfaa3c66c	33	oh_conf	decl	Oh we're out of flour	Scenario						Yes%2C the speaker was surprised that they were out of flour.
ddd3a93b8fdbc07dd77b38adfaa3c66c	33	oh_conf	decl	Oh we're out of flour	Playback	4764	pause	1.935465			
ddd3a93b8fdbc07dd77b38adfaa3c66c	33	oh_conf	decl	Oh we're out of flour	Playback	1960	play	0.0			
ddd3a93b8fdbc07dd77b38adfaa3c66c	33	oh_conf	decl	Oh we're out of flour	Playback	45159	pause	1.935465			
ddd3a93b8fdbc07dd77b38adfaa3c66c	33	oh_conf	decl	Oh we're out of flour	Playback	43153	seeking	0.0			
ddd3a93b8fdbc07dd77b38adfaa3c66c	33	oh_conf	decl	Oh we're out of flour	Playback	43154	play	0.0			
ddd3a93b8fdbc07dd77b38adfaa3c66c	33	oh_conf	decl	Oh we're out of flour	Rating	10562			How natural does the speaker's tone of voice sound?	4	
ddd3a93b8fdbc07dd77b38adfaa3c66c	33	oh_conf	decl	Oh we're out of flour	Rating	15152			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
ddd3a93b8fdbc07dd77b38adfaa3c66c	33	oh_conf	decl	Oh we're out of flour	Rating	24986			What is the intensity of the speaker's emotion? How expressive do they sound?	3	
ddd3a93b8fdbc07dd77b38adfaa3c66c	105	god_exclam	conf	God I thought apples were in the sunflower family	Scenario						Yes%2C the speaker was surprised to have found out something.
ddd3a93b8fdbc07dd77b38adfaa3c66c	105	god_exclam	conf	God I thought apples were in the sunflower family	Playback	5156	play	0.0			
ddd3a93b8fdbc07dd77b38adfaa3c66c	105	god_exclam	conf	God I thought apples were in the sunflower family	Playback	7881	pause	2.667551			
ddd3a93b8fdbc07dd77b38adfaa3c66c	105	god_exclam	conf	God I thought apples were in the sunflower family	Rating	10925			How natural does the speaker's tone of voice sound?	4	
ddd3a93b8fdbc07dd77b38adfaa3c66c	105	god_exclam	conf	God I thought apples were in the sunflower family	Rating	19190			What is the emotion being conveyed here?	Confusion -- trying to make sense of what is going on	
ddd3a93b8fdbc07dd77b38adfaa3c66c	105	god_exclam	conf	God I thought apples were in the sunflower family	Rating	22665			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
ddd3a93b8fdbc07dd77b38adfaa3c66c	105	god_exclam	conf	God I thought apples were in the sunflower family	Rating	25622			What is the intensity of the speaker's emotion? How expressive do they sound?	5	
e6deee70ea600794ac80ad98ee50125c	62	god_decl	exclam	God a package arrived for you	Scenario						doesnt make sense
e6deee70ea600794ac80ad98ee50125c	62	god_decl	exclam	God a package arrived for you	Playback	5635	play	0.0			
e6deee70ea600794ac80ad98ee50125c	62	god_decl	exclam	God a package arrived for you	Playback	8785	pause	1.816735			
e6deee70ea600794ac80ad98ee50125c	62	god_decl	exclam	God a package arrived for you	Rating	16261			How natural does the speaker's tone of voice sound?	1	
e6deee70ea600794ac80ad98ee50125c	62	god_decl	exclam	God a package arrived for you	Rating	21497			What is the emotion being conveyed here?	Neutral -- no obvious emotion	
e6deee70ea600794ac80ad98ee50125c	62	god_decl	exclam	God a package arrived for you	Rating	26225			What is the intensity of the speaker's emotion? How expressive do they sound?	5	
e6deee70ea600794ac80ad98ee50125c	134	oh_exclam	exclam	Oh there are a lot of cakes to choose from	Scenario						yes surprise at the cake
e6deee70ea600794ac80ad98ee50125c	134	oh_exclam	exclam	Oh there are a lot of cakes to choose from	Playback	2691	play	0.0			
e6deee70ea600794ac80ad98ee50125c	134	oh_exclam	exclam	Oh there are a lot of cakes to choose from	Playback	5830	pause	2.458866			
e6deee70ea600794ac80ad98ee50125c	134	oh_exclam	exclam	Oh there are a lot of cakes to choose from	Rating	10125			How natural does the speaker's tone of voice sound?	4	
e6deee70ea600794ac80ad98ee50125c	134	oh_exclam	exclam	Oh there are a lot of cakes to choose from	Rating	13630			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
e6deee70ea600794ac80ad98ee50125c	134	oh_exclam	exclam	Oh there are a lot of cakes to choose from	Rating	16995			What is the intensity of the speaker's emotion? How expressive do they sound?	3	
7be628e279244843f3b05cba905133f6	42	what_conf	conf	What I thought apples were in the sunflower family	Scenario						He thought something other else
7be628e279244843f3b05cba905133f6	42	what_conf	conf	What I thought apples were in the sunflower family	Playback	2360	play	0.0			
7be628e279244843f3b05cba905133f6	42	what_conf	conf	What I thought apples were in the sunflower family	Playback	4980	pause	2.55712			
7be628e279244843f3b05cba905133f6	42	what_conf	conf	What I thought apples were in the sunflower family	Rating	9065			How natural does the speaker's tone of voice sound?	4	
7be628e279244843f3b05cba905133f6	42	what_conf	conf	What I thought apples were in the sunflower family	Rating	13923			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
7be628e279244843f3b05cba905133f6	42	what_conf	conf	What I thought apples were in the sunflower family	Rating	18257			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
7be628e279244843f3b05cba905133f6	42	what_conf	conf	What I thought apples were in the sunflower family	Rating	20670			What is the emotion being conveyed here?	Anger -- annoyed or irritated at an event or situation	
7be628e279244843f3b05cba905133f6	42	what_conf	conf	What I thought apples were in the sunflower family	Rating	22516			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
7be628e279244843f3b05cba905133f6	42	what_conf	conf	What I thought apples were in the sunflower family	Rating	28533			What is the intensity of the speaker's emotion? How expressive do they sound?	4	
7be628e279244843f3b05cba905133f6	114	huh_exclam	decl	Huh I put the toolbox in the shed	Scenario						No%2C it was just a regular expression
7be628e279244843f3b05cba905133f6	114	huh_exclam	decl	Huh I put the toolbox in the shed	Playback	7638	play	0.0			
7be628e279244843f3b05cba905133f6	114	huh_exclam	decl	Huh I put the toolbox in the shed	Playback	3188	play	0.0			
7be628e279244843f3b05cba905133f6	114	huh_exclam	decl	Huh I put the toolbox in the shed	Playback	5530	pause	2.299773			
7be628e279244843f3b05cba905133f6	114	huh_exclam	decl	Huh I put the toolbox in the shed	Playback	7638	seeking	0.0			
7be628e279244843f3b05cba905133f6	114	huh_exclam	decl	Huh I put the toolbox in the shed	Playback	9992	pause	2.299773			
7be628e279244843f3b05cba905133f6	114	huh_exclam	decl	Huh I put the toolbox in the shed	Rating	13320			How natural does the speaker's tone of voice sound?	3	
7be628e279244843f3b05cba905133f6	114	huh_exclam	decl	Huh I put the toolbox in the shed	Rating	17739			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
7be628e279244843f3b05cba905133f6	114	huh_exclam	decl	Huh I put the toolbox in the shed	Rating	22942			What is the intensity of the speaker's emotion? How expressive do they sound?	3	
898a6bbaf1673eff142463e921961cb9	120	huh_exclam	exclam	Huh you can't be serious right now	Scenario						No it just seems to be a reply about what the other person i s doing.
898a6bbaf1673eff142463e921961cb9	120	huh_exclam	exclam	Huh you can't be serious right now	Playback	1695	play	0.0			
898a6bbaf1673eff142463e921961cb9	120	huh_exclam	exclam	Huh you can't be serious right now	Playback	3964	pause	2.120272			
898a6bbaf1673eff142463e921961cb9	120	huh_exclam	exclam	Huh you can't be serious right now	Playback	4446	play	0.0			
898a6bbaf1673eff142463e921961cb9	120	huh_exclam	exclam	Huh you can't be serious right now	Playback	4449	seeking	0.0			
898a6bbaf1673eff142463e921961cb9	120	huh_exclam	exclam	Huh you can't be serious right now	Playback	6714	pause	2.120272			
898a6bbaf1673eff142463e921961cb9	120	huh_exclam	exclam	Huh you can't be serious right now	Rating	7774			How natural does the speaker's tone of voice sound?	5	
898a6bbaf1673eff142463e921961cb9	120	huh_exclam	exclam	Huh you can't be serious right now	Rating	11962			What is the emotion being conveyed here?	Anger -- annoyed or irritated at an event or situation	
898a6bbaf1673eff142463e921961cb9	120	huh_exclam	exclam	Huh you can't be serious right now	Rating	14341			What is the intensity of the speaker's emotion? How expressive do they sound?	5	
898a6bbaf1673eff142463e921961cb9	120	huh_exclam	exclam	Huh you can't be serious right now	Rating	14998			What is the intensity of the speaker's emotion? How expressive do they sound?	5	
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Scenario						It seemed random and is hard to understand what the second person is saying as he talking without any emotion.
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	1184	play	0.0			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	3562	pause	2.230317			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	3887	seeking	0.031			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	4044	seeking	0.014			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	4046	seeking	0.014			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	4055	seeking	0.007			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	4074	seeking	0.0			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	4555	play	0.0			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	6929	pause	2.230317			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	16808	play	0.0			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	16810	seeking	0.0			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	19184	pause	2.230317			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	19817	play	0.0			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	19819	seeking	0.0			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	22191	pause	2.230317			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	29754	play	0.0			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	29756	seeking	0.0			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Playback	32180	pause	2.230317			
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Rating	14669			How natural does the speaker's tone of voice sound?	2	
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Rating	37623			What is the emotion being conveyed here?	Confusion -- trying to make sense of what is going on	
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Rating	45052			What is the intensity of the speaker's emotion? How expressive do they sound?	2	
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Rating	46216			What is the intensity of the speaker's emotion? How expressive do they sound?	1	
898a6bbaf1673eff142463e921961cb9	48	what_conf	decl	What another pile of papers to grade	Rating	46487			What is the intensity of the speaker's emotion? How expressive do they sound?	1	
5168c05db935ce4adf790a026ee5d03f	91	what_decl	conf	What you don't know how to tango	Scenario						Sounds like they were reading off a script or something.
5168c05db935ce4adf790a026ee5d03f	91	what_decl	conf	What you don't know how to tango	Playback	1736	play	0.0			
5168c05db935ce4adf790a026ee5d03f	91	what_decl	conf	What you don't know how to tango	Playback	3610	pause	1.805692			
5168c05db935ce4adf790a026ee5d03f	91	what_decl	conf	What you don't know how to tango	Rating	8708			How natural does the speaker's tone of voice sound?	2	
5168c05db935ce4adf790a026ee5d03f	91	what_decl	conf	What you don't know how to tango	Rating	18415			What is the emotion being conveyed here?	Neutral -- no obvious emotion	
5168c05db935ce4adf790a026ee5d03f	91	what_decl	conf	What you don't know how to tango	Rating	20404			What is the intensity of the speaker's emotion? How expressive do they sound?	1	
5168c05db935ce4adf790a026ee5d03f	19	huh_conf	conf	Huh she's never done that before	Scenario						The speaker sounds completely natural as if they were actually asking a question.
5168c05db935ce4adf790a026ee5d03f	19	huh_conf	conf	Huh she's never done that before	Playback	3250	play	0.0			
5168c05db935ce4adf790a026ee5d03f	19	huh_conf	conf	Huh she's never done that before	Playback	5382	pause	2.052268			
5168c05db935ce4adf790a026ee5d03f	19	huh_conf	conf	Huh she's never done that before	Rating	7910			How natural does the speaker's tone of voice sound?	4	
5168c05db935ce4adf790a026ee5d03f	19	huh_conf	conf	Huh she's never done that before	Rating	11649			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
5168c05db935ce4adf790a026ee5d03f	19	huh_conf	conf	Huh she's never done that before	Rating	20419			What is the intensity of the speaker's emotion? How expressive do they sound?	4	
437be73cb7915b55ec05c781caf44a97	9	god_conf	decl	God we're out of flour	Scenario						it sounded like the speaker was confused about what they were reading
437be73cb7915b55ec05c781caf44a97	9	god_conf	decl	God we're out of flour	Playback	2944	play	0.0			
437be73cb7915b55ec05c781caf44a97	9	god_conf	decl	God we're out of flour	Playback	4900	pause	1.890771			
437be73cb7915b55ec05c781caf44a97	9	god_conf	decl	God we're out of flour	Rating	9531			How natural does the speaker's tone of voice sound?	5	
437be73cb7915b55ec05c781caf44a97	9	god_conf	decl	God we're out of flour	Rating	12931			What is the emotion being conveyed here?	Confusion -- trying to make sense of what is going on	
437be73cb7915b55ec05c781caf44a97	9	god_conf	decl	God we're out of flour	Rating	17860			What is the intensity of the speaker's emotion? How expressive do they sound?	3	
437be73cb7915b55ec05c781caf44a97	81	oh_decl	conf	Oh I thought apples were in the sunflower family	Scenario						they sounded like they learned something
437be73cb7915b55ec05c781caf44a97	81	oh_decl	conf	Oh I thought apples were in the sunflower family	Playback	17558	play	0.013875			
437be73cb7915b55ec05c781caf44a97	81	oh_decl	conf	Oh I thought apples were in the sunflower family	Playback	20171	pause	2.572971			
437be73cb7915b55ec05c781caf44a97	81	oh_decl	conf	Oh I thought apples were in the sunflower family	Rating	22791			How natural does the speaker's tone of voice sound?	5	
437be73cb7915b55ec05c781caf44a97	81	oh_decl	conf	Oh I thought apples were in the sunflower family	Rating	26238			What is the emotion being conveyed here?	Neutral -- no obvious emotion	
437be73cb7915b55ec05c781caf44a97	81	oh_decl	conf	Oh I thought apples were in the sunflower family	Rating	30759			What is the intensity of the speaker's emotion? How expressive do they sound?	3	
32cffdef5e54f10fa2469fd471daec30	140	what_exclam	exclam	What a package arrived for you	Scenario						Simply sounded surprised about something due to speed of talking and volume. 
32cffdef5e54f10fa2469fd471daec30	140	what_exclam	exclam	What a package arrived for you	Playback	15099	play	0.0			
32cffdef5e54f10fa2469fd471daec30	140	what_exclam	exclam	What a package arrived for you	Playback	21469	pause	1.974966			
32cffdef5e54f10fa2469fd471daec30	140	what_exclam	exclam	What a package arrived for you	Rating	27521			How natural does the speaker's tone of voice sound?	3	
32cffdef5e54f10fa2469fd471daec30	140	what_exclam	exclam	What a package arrived for you	Rating	35755			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
32cffdef5e54f10fa2469fd471daec30	140	what_exclam	exclam	What a package arrived for you	Rating	39766			What is the intensity of the speaker's emotion? How expressive do they sound?	4	
32cffdef5e54f10fa2469fd471daec30	68	huh_decl	conf	Huh I've never heard that before	Scenario						I think so.  It sounded sincere and genuine
32cffdef5e54f10fa2469fd471daec30	68	huh_decl	conf	Huh I've never heard that before	Playback	16143	play	0.0			
32cffdef5e54f10fa2469fd471daec30	68	huh_decl	conf	Huh I've never heard that before	Playback	17332	pause	0.0			
32cffdef5e54f10fa2469fd471daec30	68	huh_decl	conf	Huh I've never heard that before	Playback	56327	play	0.0			
32cffdef5e54f10fa2469fd471daec30	68	huh_decl	conf	Huh I've never heard that before	Playback	58699	pause	1.799932			
32cffdef5e54f10fa2469fd471daec30	68	huh_decl	conf	Huh I've never heard that before	Rating	63498			How natural does the speaker's tone of voice sound?	5	
32cffdef5e54f10fa2469fd471daec30	68	huh_decl	conf	Huh I've never heard that before	Rating	76648			What is the emotion being conveyed here?	Confusion -- trying to make sense of what is going on	
32cffdef5e54f10fa2469fd471daec30	68	huh_decl	conf	Huh I've never heard that before	Rating	82110			What is the intensity of the speaker's emotion? How expressive do they sound?	4	
ef5146f4a91efd57c0e5cf87e4d74469	143	what_exclam	conf	What you don't know how to tango	Scenario						Yes%2C they were surprised someone didn't know how to tango
ef5146f4a91efd57c0e5cf87e4d74469	143	what_exclam	conf	What you don't know how to tango	Playback	6112	play	0.0			
ef5146f4a91efd57c0e5cf87e4d74469	143	what_exclam	conf	What you don't know how to tango	Playback	8596	pause	2.084082			
ef5146f4a91efd57c0e5cf87e4d74469	143	what_exclam	conf	What you don't know how to tango	Rating	11673			How natural does the speaker's tone of voice sound?	4	
ef5146f4a91efd57c0e5cf87e4d74469	143	what_exclam	conf	What you don't know how to tango	Rating	13866			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
ef5146f4a91efd57c0e5cf87e4d74469	143	what_exclam	conf	What you don't know how to tango	Rating	16783			What is the intensity of the speaker's emotion? How expressive do they sound?	5	
ef5146f4a91efd57c0e5cf87e4d74469	71	huh_decl	decl	Huh I'm on the phone	Scenario						It sounded like they were distracted%2C telling someone they were on the phone. 
ef5146f4a91efd57c0e5cf87e4d74469	71	huh_decl	decl	Huh I'm on the phone	Playback	6361	play	0.0			
ef5146f4a91efd57c0e5cf87e4d74469	71	huh_decl	decl	Huh I'm on the phone	Playback	8311	pause	1.7778			
ef5146f4a91efd57c0e5cf87e4d74469	71	huh_decl	decl	Huh I'm on the phone	Rating	11763			How natural does the speaker's tone of voice sound?	5	
ef5146f4a91efd57c0e5cf87e4d74469	71	huh_decl	decl	Huh I'm on the phone	Rating	16860			What is the emotion being conveyed here?	Neutral -- no obvious emotion	
ef5146f4a91efd57c0e5cf87e4d74469	71	huh_decl	decl	Huh I'm on the phone	Rating	29324			What is the intensity of the speaker's emotion? How expressive do they sound?	4	
281a523cd2e4ae3caea07c9886ab5a21	61	god_decl	exclam	God he really likes it	Scenario						YES%2C HE USES HIGH INFLECTION OF HIS TONE
281a523cd2e4ae3caea07c9886ab5a21	61	god_decl	exclam	God he really likes it	Playback	2532	play	0.0			
281a523cd2e4ae3caea07c9886ab5a21	61	god_decl	exclam	God he really likes it	Playback	4613	pause	2.009002			
281a523cd2e4ae3caea07c9886ab5a21	61	god_decl	exclam	God he really likes it	Rating	8626			How natural does the speaker's tone of voice sound?	5	
281a523cd2e4ae3caea07c9886ab5a21	61	god_decl	exclam	God he really likes it	Rating	12443			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
281a523cd2e4ae3caea07c9886ab5a21	61	god_decl	exclam	God he really likes it	Rating	15009			What is the emotion being conveyed here?	Excitement -- something positive has happened	
281a523cd2e4ae3caea07c9886ab5a21	61	god_decl	exclam	God he really likes it	Rating	20967			What is the intensity of the speaker's emotion? How expressive do they sound?	4	
